Pixel Value,Count,Ratio
0,3172700041,0.5545550581549649
1,652049476,0.11397148498448119
10,562264675,0.09827803306764209
11,793768471,0.13874249532213578
7,174284832,0.030463180854255954
6,146191612,0.025552777396780087
12,24569249,0.004294449879265725
2,67293234,0.011762159300298523
9,29666583,0.005185410990078558
5,37047746,0.006475561720945042
8,4705463,0.0008224661247170941
13,17204416,0.0030071534630153863
14,8963131,0.0015666623282133238
3,29192372,0.005102523826059158
15,1261989,0.00022058258714723733
